,profile.age
0,19.0
1,20.0
2,21.0
3,19.0
4,21.0
5,21.0
6,20.0
7,19.0
8,19.0
9,21.0
10,18.0
11,20.0
12,21.0
13,22.0
14,18.0
15,20.0
16,21.0
17,18.0
18,20.0
19,19.0
20,20.0
21,21.0
22,21.0
23,21.0
24,20.0
25,18.0
26,19.0
27,24.0
28,20.0
29,18.0
30,23.0
31,21.0
32,18.0
33,21.0
34,18.0
35,20.0
36,23.0
37,20.0
38,23.0
39,21.0
40,19.0
41,19.0
42,20.0
43,21.0
44,21.0
45,21.0
46,27.0
47,21.0
48,20.0
49,20.0
50,21.0
51,21.0
52,21.0
53,20.0
54,20.0
55,21.0
56,21.0
57,21.0
58,19.0
59,20.0
60,21.0
61,20.0
62,20.0
63,18.0
64,19.0
65,21.0
66,21.0
67,24.0
68,20.0
69,21.0
70,20.0
71,21.0
72,18.0
73,21.0
74,21.0
75,20.0
76,22.0
77,19.0
78,22.0
79,18.0
80,21.0
81,22.0
82,18.0
83,22.0
84,21.0
85,20.0
86,35.0
87,21.0
88,19.0
89,20.0
90,19.0
91,21.0
92,22.0
93,23.0
94,19.0
95,19.0
96,21.0
97,19.0
98,21.0
99,18.0
100,20.0
101,19.0
102,18.0
103,21.0
104,23.0
105,22.0
106,20.0
107,19.0
108,23.0
109,19.0
110,19.0
111,21.0
112,21.0
113,19.0
114,21.0
115,19.0
116,19.0
117,21.0
118,21.0
119,20.0
120,22.0
121,19.0
122,18.0
123,20.0
124,19.0
125,22.0
126,21.0
127,21.0
128,20.0
129,21.0
130,21.0
131,19.0
132,20.0
133,21.0
134,22.0
135,20.0
136,21.0
137,18.0
138,18.0
139,20.0
140,19.0
141,20.0
142,18.0
143,23.0
144,18.0
145,21.0
146,20.0
147,21.0
148,19.0
149,21.0
150,18.0
151,19.0
152,19.0
153,20.0
154,18.0
155,19.0
156,21.0
157,21.0
158,21.0
159,18.0
160,21.0
161,18.0
162,21.0
163,22.0
164,53.0
165,21.0
166,18.0
167,20.0
168,22.0
169,20.0
170,21.0
171,21.0
172,18.0
173,20.0
174,22.0
175,20.0
176,19.0
177,21.0
178,20.0
179,21.0
180,19.0
181,19.0
182,20.0
183,19.0
184,21.0
185,21.0
186,19.0
187,20.0
188,19.0
189,18.0
190,21.0
191,19.0
192,20.0
193,21.0
194,19.0
195,19.0
196,19.0
197,20.0
198,19.0
199,21.0
200,21.0
201,21.0
202,19.0
203,21.0
204,21.0
205,22.0
206,19.0
207,18.0
208,21.0
209,23.0
210,20.0
211,19.0
212,19.0
213,19.0
214,21.0
215,18.0
216,21.0
217,23.0
218,21.0
219,21.0
220,19.0
221,19.0
222,18.0
223,19.0
224,21.0
225,22.0
226,21.0
227,21.0
228,22.0
229,21.0
230,18.0
231,20.0
232,20.0
233,22.0
234,21.0
235,18.0
236,20.0
237,21.0
238,20.0
239,19.0
240,19.0
241,21.0
242,21.0
243,21.0
244,19.0
245,21.0
246,19.0
247,20.0
248,22.0
249,21.0
250,19.0
251,18.0
252,19.0
253,19.0
254,18.0
255,21.0
256,18.0
257,21.0
258,21.0
259,19.0
260,21.0
261,21.0
262,18.0
263,20.0
264,22.0
265,21.0
266,19.0
267,21.0
268,21.0
269,19.0
270,20.0
271,22.0
272,20.0
273,21.0
274,19.0
275,20.0
276,18.0
277,20.0
278,21.0
279,20.0
280,20.0
281,27.0
282,22.0
283,21.0
284,19.0
285,22.0
286,20.0
287,18.0
288,21.0
289,19.0
290,20.0
291,19.0
292,19.0
293,20.0
294,21.0
295,20.0
296,21.0
297,20.0
298,20.0
299,22.0
300,19.0
301,19.0
302,21.0
303,18.0
304,20.0
305,20.0
306,20.0
307,19.0
308,21.0
309,21.0
310,21.0
311,20.0
312,21.0
313,21.0
314,20.0
315,19.0
316,21.0
317,18.0
318,20.0
319,20.0
320,20.0
321,20.0
322,21.0
323,22.0
324,20.0
325,21.0
326,21.0
327,20.0
328,18.0
329,18.0
330,18.0
331,19.0
332,20.0
333,24.0
334,18.0
335,22.0
336,21.0
337,20.0
338,20.0
339,21.0
340,19.0
341,18.0
342,22.0
343,22.0
344,20.0
345,21.0
346,20.0
347,21.0
348,18.0
349,21.0
350,22.0
351,21.0
352,19.0
353,22.0
354,21.0
355,19.0
356,21.0
357,21.0
358,20.0
359,19.0
360,19.0
361,24.0
362,18.0
363,20.0
364,19.0
365,20.0
366,20.0
367,20.0
368,20.0
369,18.0
370,22.0
371,21.0
372,18.0
373,20.0
374,18.0
375,21.0
376,26.0
377,20.0
